,label,path_to_image
0,7,../data/mnist_train/0-7.jpg
1,3,../data/mnist_train/1-3.jpg
2,0,../data/mnist_train/10-0.jpg
3,7,../data/mnist_train/100-7.jpg
4,6,../data/mnist_train/1000-6.jpg
5,5,../data/mnist_train/10000-5.jpg
6,1,../data/mnist_train/10001-1.jpg
7,1,../data/mnist_train/10002-1.jpg
8,3,../data/mnist_train/10003-3.jpg
9,6,../data/mnist_train/10004-6.jpg
10,2,../data/mnist_train/10005-2.jpg
11,6,../data/mnist_train/10006-6.jpg
12,3,../data/mnist_train/10007-3.jpg
13,3,../data/mnist_train/10008-3.jpg
14,1,../data/mnist_train/10009-1.jpg
15,0,../data/mnist_train/1001-0.jpg
16,3,../data/mnist_train/10010-3.jpg
17,4,../data/mnist_train/10011-4.jpg
18,5,../data/mnist_train/10012-5.jpg
19,2,../data/mnist_train/10013-2.jpg
20,3,../data/mnist_train/10014-3.jpg
21,0,../data/mnist_train/10015-0.jpg
22,2,../data/mnist_train/10016-2.jpg
23,0,../data/mnist_train/10017-0.jpg
24,9,../data/mnist_train/10018-9.jpg
25,7,../data/mnist_train/10019-7.jpg
26,1,../data/mnist_train/1002-1.jpg
27,1,../data/mnist_train/10020-1.jpg
28,8,../data/mnist_train/10021-8.jpg
29,3,../data/mnist_train/10022-3.jpg
30,4,../data/mnist_train/10023-4.jpg
31,5,../data/mnist_train/10024-5.jpg
32,6,../data/mnist_train/10025-6.jpg
33,1,../data/mnist_train/10026-1.jpg
34,4,../data/mnist_train/10027-4.jpg
35,0,../data/mnist_train/10028-0.jpg
36,9,../data/mnist_train/10029-9.jpg
37,1,../data/mnist_train/1003-1.jpg
38,2,../data/mnist_train/10030-2.jpg
39,3,../data/mnist_train/10031-3.jpg
40,6,../data/mnist_train/10032-6.jpg
41,8,../data/mnist_train/10033-8.jpg
42,1,../data/mnist_train/10034-1.jpg
43,4,../data/mnist_train/10035-4.jpg
44,6,../data/mnist_train/10036-6.jpg
45,7,../data/mnist_train/10037-7.jpg
46,4,../data/mnist_train/10038-4.jpg
47,2,../data/mnist_train/10039-2.jpg
48,5,../data/mnist_train/1004-5.jpg
49,2,../data/mnist_train/10040-2.jpg
50,5,../data/mnist_train/10041-5.jpg
51,0,../data/mnist_train/10042-0.jpg
52,6,../data/mnist_train/10043-6.jpg
53,1,../data/mnist_train/10044-1.jpg
54,3,../data/mnist_train/10045-3.jpg
55,0,../data/mnist_train/10046-0.jpg
56,6,../data/mnist_train/10047-6.jpg
57,1,../data/mnist_train/10048-1.jpg
58,9,../data/mnist_train/10049-9.jpg
59,2,../data/mnist_train/1005-2.jpg
60,8,../data/mnist_train/10050-8.jpg
61,6,../data/mnist_train/10051-6.jpg
62,3,../data/mnist_train/10052-3.jpg
63,3,../data/mnist_train/10053-3.jpg
64,5,../data/mnist_train/10054-5.jpg
65,2,../data/mnist_train/10055-2.jpg
66,8,../data/mnist_train/10056-8.jpg
67,2,../data/mnist_train/10057-2.jpg
68,4,../data/mnist_train/10058-4.jpg
69,4,../data/mnist_train/10059-4.jpg
70,8,../data/mnist_train/1006-8.jpg
71,0,../data/mnist_train/10060-0.jpg
72,6,../data/mnist_train/10061-6.jpg
73,7,../data/mnist_train/10062-7.jpg
74,9,../data/mnist_train/10063-9.jpg
75,0,../data/mnist_train/10064-0.jpg
76,0,../data/mnist_train/10065-0.jpg
77,5,../data/mnist_train/10066-5.jpg
78,2,../data/mnist_train/10067-2.jpg
79,1,../data/mnist_train/10068-1.jpg
80,5,../data/mnist_train/10069-5.jpg
81,3,../data/mnist_train/1007-3.jpg
82,5,../data/mnist_train/10070-5.jpg
83,5,../data/mnist_train/10071-5.jpg
84,9,../data/mnist_train/10072-9.jpg
85,1,../data/mnist_train/10073-1.jpg
86,7,../data/mnist_train/10074-7.jpg
87,3,../data/mnist_train/10075-3.jpg
88,3,../data/mnist_train/10076-3.jpg
89,3,../data/mnist_train/10077-3.jpg
90,4,../data/mnist_train/10078-4.jpg
91,9,../data/mnist_train/10079-9.jpg
92,0,../data/mnist_train/1008-0.jpg
93,3,../data/mnist_train/10080-3.jpg
94,7,../data/mnist_train/10081-7.jpg
95,1,../data/mnist_train/10082-1.jpg
96,2,../data/mnist_train/10083-2.jpg
97,6,../data/mnist_train/10084-6.jpg
98,5,../data/mnist_train/10085-5.jpg
99,7,../data/mnist_train/10086-7.jpg
100,7,../data/mnist_train/10087-7.jpg
101,6,../data/mnist_train/10088-6.jpg
102,9,../data/mnist_train/10089-9.jpg
103,4,../data/mnist_train/1009-4.jpg
104,3,../data/mnist_train/10090-3.jpg
105,8,../data/mnist_train/10091-8.jpg
106,4,../data/mnist_train/10092-4.jpg
107,2,../data/mnist_train/10093-2.jpg
108,2,../data/mnist_train/10094-2.jpg
109,1,../data/mnist_train/10095-1.jpg
110,8,../data/mnist_train/10096-8.jpg
111,3,../data/mnist_train/10097-3.jpg
112,7,../data/mnist_train/10098-7.jpg
113,1,../data/mnist_train/10099-1.jpg
114,4,../data/mnist_train/101-4.jpg
115,9,../data/mnist_train/1010-9.jpg
116,4,../data/mnist_train/10100-4.jpg
117,3,../data/mnist_train/10101-3.jpg
118,8,../data/mnist_train/10102-8.jpg
119,0,../data/mnist_train/10103-0.jpg
120,8,../data/mnist_train/10104-8.jpg
121,1,../data/mnist_train/10105-1.jpg
122,7,../data/mnist_train/10106-7.jpg
123,2,../data/mnist_train/10107-2.jpg
124,0,../data/mnist_train/10108-0.jpg
125,3,../data/mnist_train/10109-3.jpg
126,5,../data/mnist_train/1011-5.jpg
127,5,../data/mnist_train/10110-5.jpg
128,4,../data/mnist_train/10111-4.jpg
129,9,../data/mnist_train/10112-9.jpg
130,7,../data/mnist_train/10113-7.jpg
131,6,../data/mnist_train/10114-6.jpg
132,8,../data/mnist_train/10115-8.jpg
133,5,../data/mnist_train/10116-5.jpg
134,9,../data/mnist_train/10117-9.jpg
135,5,../data/mnist_train/10118-5.jpg
136,0,../data/mnist_train/10119-0.jpg
137,2,../data/mnist_train/1012-2.jpg
138,0,../data/mnist_train/10120-0.jpg
